"","year","region","total_old","total_pop","oldshare","cons_or_not","averagevoteshare"
"1",1988,"Busan",150714,1591514,9.46985072076023,"0",58.3273211361855
"2",1988,"Busan",150714,1591514,9.46985072076023,"1",38.8407941588728
"3",1988,"Busan",150714,1591514,9.46985072076023,"2",6.06832436773224
"4",1988,"Chungbuk",113596,589480,19.2705435298908,"0",25.2778548085232
"5",1988,"Chungbuk",113596,589480,19.2705435298908,"1",75.8971670234885
"6",1988,"Chungbuk",113596,589480,19.2705435298908,"2",19.9902565644703
"7",1988,"Chungnam",196392,1101471,17.8299746430001,"0",20.1292060334131
"8",1988,"Chungnam",196392,1101471,17.8299746430001,"1",76.9744659974243
"9",1988,"Chungnam",196392,1101471,17.8299746430001,"2",9.03288868479237
"10",1988,"Daegu",74768,672004,11.1261242492604,"0",31.1887469224947
"11",1988,"Daegu",74768,672004,11.1261242492604,"1",66.441318121869
"12",1988,"Daegu",74768,672004,11.1261242492604,"2",4.7398699112725
"13",1988,"Gangwon",121935,712318,17.1180568229358,"0",26.6733070633568
"14",1988,"Gangwon",121935,712318,17.1180568229358,"1",63.0001192432049
"15",1988,"Gangwon",121935,712318,17.1180568229358,"2",20.6531473868765
"16",1988,"Gwangju",45179,377511,11.967598295149,"0",88.230577916164
"17",1988,"Gwangju",45179,377511,11.967598295149,"1",11.0979310072134
"18",1988,"Gwangju",45179,377511,11.967598295149,"2",1.67872769155653
"19",1988,"Gyeongbuk",271432,1339624,20.2618048049303,"0",28.4567080344272
"20",1988,"Gyeongbuk",271432,1339624,20.2618048049303,"1",66.5824311199618
"21",1988,"Gyeongbuk",271432,1339624,20.2618048049303,"2",16.5793482240324
"22",1988,"Gyeonggi",339767,2335299,14.5491862069911,"0",40.9159236249076
"23",1988,"Gyeonggi",339767,2335299,14.5491862069911,"1",54.5396491925214
"24",1988,"Gyeonggi",339767,2335299,14.5491862069911,"2",14.138217901332
"25",1988,"Gyeongnam",254619,1866594,13.6408345896322,"0",39.729818177252
"26",1988,"Gyeongnam",254619,1866594,13.6408345896322,"1",51.3073257848148
"27",1988,"Gyeongnam",254619,1866594,13.6408345896322,"2",24.6478541043163
"28",1988,"Incheon",52503,518323,10.1293980780324,"0",46.0433520731025
"29",1988,"Incheon",52503,518323,10.1293980780324,"1",52.6835539511169
"30",1988,"Incheon",52503,518323,10.1293980780324,"2",8.91165783046405
"31",1988,"Jeju",28081,168671,16.648386503904,"0",31.2951164583214
"32",1988,"Jeju",28081,168671,16.648386503904,"1",39.8797089944668
"33",1988,"Jeju",28081,168671,16.648386503904,"2",43.2377618208178
"34",1988,"Jeonbuk",164664,929413,17.7169891103309,"0",62.9028038666285
"35",1988,"Jeonbuk",164664,929413,17.7169891103309,"1",32.7779542502876
"36",1988,"Jeonbuk",164664,929413,17.7169891103309,"2",7.55867329539692
"37",1988,"Jeonnam",197520,1042974,18.9381518618873,"0",71.9849676816425
"38",1988,"Jeonnam",197520,1042974,18.9381518618873,"1",24.8721380182072
"39",1988,"Jeonnam",197520,1042974,18.9381518618873,"2",11.3144194805413
"40",1988,"Seoul",365022,3617791,10.0896375716563,"0",53.9617180639231
"41",1988,"Seoul",365022,3617791,10.0896375716563,"1",42.0133693474994
"42",1988,"Seoul",365022,3617791,10.0896375716563,"2",8.45231643601269
"43",1992,"Busan",210180,1560164,13.4716606715704,"0",23.4805774985324
"44",1992,"Busan",210180,1560164,13.4716606715704,"1",64.0199593865815
"45",1992,"Busan",210180,1560164,13.4716606715704,"2",20.3156352124282
"46",1992,"Chungbuk",122842,540170,22.7413592017328,"0",24.7028901361458
"47",1992,"Chungbuk",122842,540170,22.7413592017328,"1",69.6360138878054
"48",1992,"Chungbuk",122842,540170,22.7413592017328,"2",12.7374659461097
"49",1992,"Chungnam",169123,673495,25.1112480419305,"0",20.7143228236686
"50",1992,"Chungnam",169123,673495,25.1112480419305,"1",62.2950722216889
"51",1992,"Chungnam",169123,673495,25.1112480419305,"2",23.7868469364996
"52",1992,"Daegu",94435,656269,14.389678622638,"0",15.5477046647761
"53",1992,"Daegu",94435,656269,14.389678622638,"1",76.1648177337502
"54",1992,"Daegu",94435,656269,14.389678622638,"2",18.232450723242
"55",1992,"Daejeon",49843,346185,14.397793087511,"0",30.7111378855995
"56",1992,"Daejeon",49843,346185,14.397793087511,"1",51.0602285035872
"57",1992,"Daejeon",49843,346185,14.397793087511,"2",22.7857920135166
"58",1992,"Gangwon",140214,627574,22.3422257773585,"0",15.4468345940872
"59",1992,"Gangwon",140214,627574,22.3422257773585,"1",71.3286118329694
"60",1992,"Gangwon",140214,627574,22.3422257773585,"2",16.831250001928
"61",1992,"Gwangju",65171,436051,14.945728825298,"0",77.148254047176
"62",1992,"Gwangju",65171,436051,14.945728825298,"1",13.2101816214435
"63",1992,"Gwangju",65171,436051,14.945728825298,"2",11.5698771976566
"64",1992,"Gyeongbuk",291436,1254143,23.237860435373,"0",10.1807329236224
"65",1992,"Gyeongbuk",291436,1254143,23.237860435373,"1",68.1409036010804
"66",1992,"Gyeongbuk",291436,1254143,23.237860435373,"2",37.3682947501621
"67",1992,"Gyeonggi",489903,3137167,15.6160956684805,"0",34.8718926645119
"68",1992,"Gyeonggi",489903,3137167,15.6160956684805,"1",57.1195788243692
"69",1992,"Gyeonggi",489903,3137167,15.6160956684805,"2",14.6037872849815
"70",1992,"Gyeongnam",299650,1926585,15.5534274376682,"0",12.9308795077602
